scenario,band,day,hour,threshold_m,pop_share,pop_share_node_alloc,residents_covered
strict_unconditional,central,Tue,22,200,0.10656579663544494,0.11362675409959751,211121
strict_unconditional,central,Tue,22,300,0.23554844830255295,0.2412409172266383,466653
strict_unconditional,central,Tue,22,400,0.3925750587896606,0.4010841522814193,777743
strict_unconditional,central,Tue,23,100,0.026177071950679476,0.03183204165360849,51860
strict_unconditional,central,Tue,23,200,0.10503409689310042,0.11220869520768305,208086
strict_unconditional,central,Tue,23,300,0.23255676280000268,0.23852714267084948,460726
strict_unconditional,central,Tue,23,400,0.38816759657927724,0.3967921458380469,769012
strict_unconditional,central,Wed,0,100,0.025985097369154435,0.031594856094906094,51480
strict_unconditional,central,Wed,0,200,0.10431352140461489,0.11161666257448125,206659
strict_unconditional,central,Wed,0,300,0.2309005189941529,0.23726768044172486,457445
strict_unconditional,central,Wed,0,400,0.3853188178554873,0.39444514532092184,763368
strict_unconditional,central,Wed,1,100,0.02566280549470073,0.030998354140597806,50841
strict_unconditional,central,Wed,1,200,0.10359717735958951,0.11079657160608286,205240
strict_unconditional,central,Wed,1,300,0.23024620871716747,0.23656895849169177,456148
strict_unconditional,central,Wed,1,400,0.38462343302772345,0.39356026420594503,761990
strict_unconditional,central,Wed,2,100,0.02566280549470073,0.030998354140597806,50841
strict_unconditional,central,Wed,2,200,0.10359717735958951,0.11079657160608286,205240
strict_unconditional,central,Wed,2,300,0.23024620871716747,0.23656895849169177,456148
strict_unconditional,central,Wed,2,400,0.38462343302772345,0.39356026420594503,761990
strict_unconditional,central,Wed,3,100,0.02566280549470073,0.030998354140597806,50841
strict_unconditional,central,Wed,3,200,0.10359717735958951,0.11079657160608286,205240
strict_unconditional,central,Wed,3,300,0.23024620871716747,0.23656895849169177,456148
strict_unconditional,central,Wed,3,400,0.38462343302772345,0.39356026420594503,761990
strict_unconditional,central,Wed,4,100,0.025985097369154435,0.031594856094906094,51480
strict_unconditional,central,Wed,4,200,0.10431352140461489,0.11161666257448125,206659
strict_unconditional,central,Wed,4,300,0.2309005189941529,0.23726768044172486,457445
strict_unconditional,central,Wed,4,400,0.3853188178554873,0.39444514532092184,763368
